,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Mexico
22,New York
23,North Dakota
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,Tennessee
29,Texas
30,Vermont
31,Wisconsin
32,Wyoming
